id,sentence,e1_pos,e2_pos,relation,label
1063,The skeletal percussive drive grows from an absentmindedly struck bass drum,3,10,"Entity-Origin(e1,e2)",13
1064,Fatigue corrosion stress corrosion are similar as both are caused by external stresses applied the pipe occur inside the pipe,0,1,"Cause-Effect(e1,e2)",9
1065,The man placed the cartridge into the printer,4,7,"Entity-Destination(e1,e2)",7
1066,Mbaka is member the agricultural cooperative vegetable producers in Kinshasa Changu district,5,7,"Member-Collection(e2,e1)",16
1067,This train has as many as six sets doors on each side shorten the time for passengers get on off at station,1,8,"Component-Whole(e2,e1)",12
1068,The Awards committee is comprised chair appointed by the President with the approval the Board Directors,2,5,"Member-Collection(e2,e1)",16
1069,My chihuahua ate tea bag green tea within the last two hours,3,4,"Content-Container(e1,e2)",17
1070,The fire started at the southeastern end the Circus Maximus in shops selling flammable goods,1,5,Other,0
1071,The handpiece contains primary coil the sleeve encloses secondary coil which are inductively coupled together so that electromagnetic energy can be transferred between them,1,4,"Component-Whole(e2,e1)",12
1072,AT & T inserted new chip into their latest modem,5,9,"Entity-Destination(e1,e2)",7
1073,A news release from the gallery however told different story,2,5,"Product-Producer(e1,e2)",3
1074,Previously the end user machined the wrenches with steel pull broach,3,10,"Instrument-Agency(e2,e1)",6
1075,The bride the groom poured champagne into stacked champagne glasses,5,9,"Entity-Destination(e1,e2)",7
1076,The yolk makes up about third the liquid weight the egg,1,5,"Component-Whole(e1,e2)",11
1077,We assessed the efficacy recombinant vaccine consisting protein A without adjuvant in subjects at risk for Lyme disease,5,7,Other,0
1078,Disposed products have released perchlorate into the soil,4,7,"Entity-Destination(e1,e2)",7
1079,Things reach head when the capricious youngster runs away from the Jeffersons apartment,6,12,"Entity-Origin(e1,e2)",13
1080,Her guardian angel went before her lighting the road with lantern,2,10,"Instrument-Agency(e2,e1)",6
1081,The best kept secret for avoiding abdominal weight gain due stress is the use adaptogens,7,10,"Cause-Effect(e2,e1)",10
1082,Other items advertised on TV simply melt the chocolate on the stovetop,1,11,Other,0
1083,Natural history began as live outside broadcasts on BBC television in the early,0,2,"Message-Topic(e2,e1)",2
1084,The sense was extended from the language the people who spoke it,1,6,Other,0
1085,In the Eastern Orthodox Church for example sacramental wine used in the Divine Liturgy must usually be pure red grape wine often sweet,18,20,"Entity-Origin(e2,e1)",14
1086,The farmer produced surplus despite the country worst drought in years by using conservation farming techniques,1,3,Other,0
1087,The story is being discussed on message boards,1,7,"Message-Topic(e2,e1)",2
1088,Baur Adams found on Albemarle rookery white herons,5,7,"Member-Collection(e2,e1)",16
1089,It is an Eden invented by the poet imagination into which external values are not disregarded but have been absorbed,7,8,Other,0
1090,Her diamonds are locked in safe deposit box,1,5,"Content-Container(e1,e2)",17
1091,Scientists store the bones in freezer helping preserve the remaining DNA that has been exposed soil for three decades,3,5,"Content-Container(e1,e2)",17
1092,I once had mixed orchard plums sweet cherries apricots tart cherries peaches apples,4,5,"Member-Collection(e2,e1)",16
1093,Treasure Island is gripping pirate story by the standards its time full action,5,8,Other,0
1094,Vietnam response on the toll caused by the earthquake in Sichuan China,4,8,"Cause-Effect(e2,e1)",10
1095,The clay model was in jar wrapped in Daily Mirror from,2,5,"Content-Container(e1,e2)",17
1096,Semiconductor tech diagnoses eye disease over the Internet,1,7,"Instrument-Agency(e2,e1)",6
1097,A typical pig has large head with long snout which is strengthened by special bone by disk cartilage in the tip,2,5,"Component-Whole(e2,e1)",12
1098,During the that exceptional teacher at poor public school built calculus program rivaled by only handful exclusive academies,4,11,"Product-Producer(e2,e1)",4
1099,James was seriously injured the shot was fired from his own gun which he had left on the bank,5,11,"Entity-Origin(e1,e2)",13
1100,A University Colorado student died due jump from an overpass onto US,3,6,Other,0
1101,Given the choice I much prefer have products with natural ingredient than have bottle full chemicals,13,15,"Content-Container(e2,e1)",18
1102,An application developer with Adobe said in blog posting that Adobe is working on the security flaw,2,8,"Product-Producer(e2,e1)",4
1103,A happy resident feels part their association,2,6,"Member-Collection(e1,e2)",15
1104,An emerging young female pornographers is storming the market challenging lads magazines such as FHM,2,4,"Member-Collection(e2,e1)",16
1105,After mile the course went away from the water onto streets with trees,3,8,Other,0
1106,As the earth revolves around the sun the place where light shines the brightest changes,2,6,Other,0
1107,As October 5 the group has finally produced review the work performed over the past years,8,10,"Message-Topic(e1,e2)",1
1108,Their analysis demonstrates beyond any doubt that the problem unemployment has been caused by the state not by any inherent flaws or failures in free market,8,15,"Cause-Effect(e2,e1)",10
1109,Eve joins an entire sisterhood female singers,4,6,"Member-Collection(e2,e1)",16
1110,Critics the industry maintain that private military security companies are used by governments in order circumvent attention,8,12,"Instrument-Agency(e1,e2)",5
1111,Historians use evidence artifacts,0,2,"Instrument-Agency(e2,e1)",6
1112,The pouch contained small stubby rod looking somewhat like pencil but containing rod made antler,1,5,"Content-Container(e2,e1)",18
1113,It is because Schiavo can not swallow that feeding tube was inserted directly into her stomach,9,15,"Entity-Destination(e1,e2)",7
1114,A temporary password has been sent your email,2,7,"Entity-Destination(e1,e2)",7
1115,In power system consisting transmission lines connected together two or more generators the rotors the generators rotate at constant speed,13,15,"Component-Whole(e1,e2)",11
1116,A student went away from an interview buoyed up by wise wholesome advice,1,6,"Entity-Origin(e1,e2)",13
1117,The inequality poverty caused the riots in,1,5,"Cause-Effect(e1,e2)",9
1118,The book includes index which is quite extensive for volume this length,1,3,"Component-Whole(e2,e1)",12
1119,The marshes have been drained into the farms,1,7,Other,0
1120,All I had left were two pairs shorts one pair underwear pair slippers purse suitcase with some important papers in it,14,18,"Content-Container(e2,e1)",18
1121,The lithium was contained in stainless steel tray in two semicircular halves at the bottom the vacuum vessel,1,5,"Content-Container(e1,e2)",17
1122,Mitochondria were passed on subsequent generations only through egg cells,0,5,Other,0
1123,Jack placed the ember in turnip one his favorite foods an item he often stole carried with him,3,5,"Entity-Destination(e1,e2)",7
1124,Moby Doll was the first captive orca displayed in public aquarium exhibit,6,11,"Component-Whole(e1,e2)",11
1125,All the epigraphs make reference hell or the underworld,2,5,"Message-Topic(e1,e2)",1
1126,The wafers are shipped sites for probing,1,4,"Entity-Destination(e1,e2)",7
1127,German chocolate cake is one my all time favorite cakes with our step by step instructions you simply can not go wrong,1,2,"Entity-Origin(e2,e1)",14
1128,analysis is used mainly assess the monetary value very large private public sector projects,0,7,Other,0
1129,The three companions reached the city by way the river,2,7,Other,0
1130,The club consists parents friends alumni local businesses,1,3,"Member-Collection(e2,e1)",16
1131,Flyers postcards supply current clients with company information but normally do not increase clients the mailing list,0,6,"Message-Topic(e1,e2)",1
1132,Belfast student Martin lives as part menage outlandish characters all struggling make sense the psychosexual revolution under the watchful eye their landlady Crystal,6,8,"Member-Collection(e2,e1)",16
1133,The model number is found on the back the coffeemaker,7,9,"Component-Whole(e1,e2)",11
1134,The Australian Flexible Learning Framework has released new report on mobile learning,8,11,"Message-Topic(e1,e2)",1
1135,The word was derived from Latin word meaning Point,1,6,"Entity-Origin(e1,e2)",13
1136,Using teleport the protagonist travels into any place instantly,3,7,"Entity-Destination(e1,e2)",7
1137,We kept raw eggs in dish in the fridge for too long,3,5,"Content-Container(e1,e2)",17
1138,Obama uses Nobel speech explain his foreign policy doctrine,3,8,"Message-Topic(e1,e2)",1
1139,It seems like the fever heat got pushed out from the body as rashes,5,11,"Cause-Effect(e2,e1)",10
1140,Repairs were being carried out on the roof the building which was partly made felt,7,9,"Component-Whole(e1,e2)",11
1141,Visibly disturbed the girl searched the room with the burning candle,3,10,"Instrument-Agency(e2,e1)",6
1142,After the pottery is formed either by potter wheel or more primitive means it has been left thoroughly dry,7,8,"Instrument-Agency(e2,e1)",6
1143,This series made contribution the development museological thought,1,5,Other,0
1144,The universe was made with plan by designer,5,7,"Product-Producer(e1,e2)",3
1145,Hence the left regular grammars generate exactly all regular languages,4,9,Other,0
1146,This feared ruler founded the largest land empire in history,2,7,Other,0
1147,The record holder folded his aircraft by hand from single sheet paper did not use scissors or glue,2,5,"Product-Producer(e2,e1)",4
1148,The Chilean Declaration Independence is document declaring the independence Chile from the Spanish Empire,5,8,"Message-Topic(e1,e2)",1
1149,To connect the microcontroller the Internet one must implement protocol stack on the device,9,10,Other,0
1150,The slide system consists sliding element whereas the slide system is connected at least one piston the crank the shaft,17,19,"Component-Whole(e1,e2)",11
1151,It killed serpent that was in the cradle,2,7,"Content-Container(e1,e2)",17
1152,The two men moved the furniture into the room,5,8,"Entity-Destination(e1,e2)",7
1153,Global oil prolongation is approaching its peak,1,6,"Entity-Destination(e1,e2)",7
1154,The book asserts the notion that men women are as different as beings from other planets,1,4,"Message-Topic(e1,e2)",1
1155,The present invention concerns an apparatus that makes modular wall using plurality panels,5,12,"Instrument-Agency(e2,e1)",6
1156,The program offers lively discussion magnificent value,1,4,"Component-Whole(e2,e1)",12
1157,But my soda was in cup so no top made it very unwieldy,2,5,"Content-Container(e1,e2)",17
1158,The newsletter tells practical projects developed help those affected by the pandemic,1,4,"Message-Topic(e1,e2)",1
1159,The Jackson County court case files from that date have been lost the entries in the Judgement Book are ambiguous,5,8,"Entity-Origin(e1,e2)",13
1160,The club consists condominium homes each with unique golf course or lake view,1,4,"Member-Collection(e2,e1)",16
1161,The nye pheasants had increased including four cock birds,1,2,"Member-Collection(e2,e1)",16
1162,Violence corruption are spreading into this country,0,6,"Entity-Destination(e1,e2)",7
1163,The planes directly flew into the computer rooms,1,7,"Entity-Destination(e1,e2)",7
1164,A technician assists the fishermen with this,1,4,Other,0
1165,Many publishing houses delayed some their hottest books the first the New Year remove them from scrum titles from authors that were released last fall,17,19,"Product-Producer(e1,e2)",3
1166,On May the committee held hearing concerning specific allegations,5,8,"Message-Topic(e1,e2)",1
1167,We are therefore invited software engineering researchers apply for research awards in all areas software engineering,10,13,Other,0
1168,The yellow discolouration has been caused by the damaging acidic properties the mount used in the original frame,2,10,"Cause-Effect(e2,e1)",10
1169,British troops made their deepest incursion into Basra yesterday poking toe within four miles the,1,5,Other,0
1170,The Sports Medical Committee has passed on the recommendation the FIFA executive,8,11,"Entity-Destination(e1,e2)",7
1171,For this installation I poured flour into nylon stockings created shapes that looked lot like bodies themselves,5,8,"Entity-Destination(e1,e2)",7
1172,With the recent invention plastic core roller covers the painter is able complete an entire job no matter how large with their original roller,9,23,"Instrument-Agency(e2,e1)",6
1173,The man was bluffing because the bomb was in can orange juice that had been served by the airline itself,6,9,"Content-Container(e1,e2)",17
1174,A state church is created by the state as in the cases the Anglican Church created by Henry VIII,2,7,"Product-Producer(e1,e2)",3
1175,Sun astronomy is explored in this book with large type color photos word list for young readers,1,6,"Message-Topic(e2,e1)",2
1176,A man uses microphone as he gives speech,1,3,"Instrument-Agency(e2,e1)",6
1177,The was sent from the private account member from Guarding Our Children Against Marijuana or,1,6,"Entity-Origin(e1,e2)",13
1178,The film portrays four girls in clique at fictional Ohio high school,1,4,"Message-Topic(e1,e2)",1
1179,Near division veteran swordsmen proved its valor killed division medieval infantry with minimal losses,1,3,"Member-Collection(e2,e1)",16
1180,This material was produced from microfilm copy the original document,1,6,"Entity-Origin(e1,e2)",13
1181,The general reached the city by train from Worcester at 6 was received by delegation from the military the city accompanied by the Brigade Band,1,6,"Instrument-Agency(e2,e1)",6
1182,Dominicans have been protesting against the proposed construction cement factory in the protected area Los National Park,8,9,"Product-Producer(e1,e2)",3
1183,The damage caused by the tsunami at least the physical damage is barely visible in some places,1,5,"Cause-Effect(e2,e1)",10
1184,We used the scope leisurely study the kaleidoscope whirling butterflies,7,9,"Member-Collection(e2,e1)",16
1185,Dr. Brian Howard is remarkably skilled Atlanta plastic surgeon who is part select group medical professionals who has certification in plastic surgery,8,13,"Member-Collection(e1,e2)",15
1186,Last week the troops moved into dangerous war zone,3,8,"Entity-Destination(e1,e2)",7
1187,Homemade tomato soup is so much better than the shop bought versions,1,2,"Entity-Origin(e2,e1)",14
1188,The following table indicates the party elected officials in the U.S. state California,2,5,"Message-Topic(e1,e2)",1
1189,The Ark was hidden in cave beneath the Temple Mount in the very heart Israel,1,5,"Content-Container(e1,e2)",17
1190,I used these techniques stretch my ear lobes accept 6 gauge earrings,6,7,"Component-Whole(e2,e1)",12
1191,The examiner lightly touched the cornea with probe until reading was automatically recorded,1,7,"Instrument-Agency(e2,e1)",6
1192,For Jung the individual is participant in collective unconscious,3,7,Other,0
1193,those apartments have been personally designed by Giorgio Armani the tower also boasts the designer first hotel,14,16,"Product-Producer(e2,e1)",4
1194,Leader Moammar Gadhafi son has been handed over the Libyan embassy in Switzerland,3,10,"Entity-Destination(e1,e2)",7
1195,The cabin was moved from its original site near Huxley Iowa as project the Ames Heritage Association,1,7,"Entity-Origin(e1,e2)",13
1196,After minutes my sister arrived my house for dinner,3,6,"Entity-Destination(e1,e2)",7
1197,The above ticker was distilled from my daily posts Twitter,2,8,"Entity-Origin(e1,e2)",13
1198,That ominous message from the chairman has been followed up this afternoon with the departure manager Russell Slade,2,5,"Product-Producer(e1,e2)",3
1199,The medical team the army has undertaken vaccination drive prevent outbreak any epidemic,2,4,"Component-Whole(e1,e2)",11
1200,The chef stirred the chopped pistachios into the soaked fruit,5,9,"Entity-Destination(e1,e2)",7
1201,There was n't wireless internet but network cord was in the desk,6,11,"Content-Container(e1,e2)",17
1202,The gaps in the rings are caused by resonance between the particles in the rings the moons orbiting nearby,1,8,"Cause-Effect(e2,e1)",10
1203,The baby tapir its snout into the basket full cuddly baby bunnies,2,4,"Component-Whole(e2,e1)",12
1204,The diaspora identity is rooted in an ancient heritage rich language literature vibrant culture,2,8,"Entity-Origin(e1,e2)",13
1205,Subsidiary sales companies were also located in Canada Germany Italy two factories were producing products in England,11,14,"Product-Producer(e2,e1)",4
1206,The scientist synthesizes copy the magical red ball by using few fragments that were left on the grandfather hand,1,3,"Product-Producer(e2,e1)",4
1207,This documentary graphic novel brings together starkly beautiful black white photographs taken by Lefevre,3,10,"Component-Whole(e2,e1)",12
1208,His perspective was gained from knowledge history theology,1,5,"Entity-Origin(e1,e2)",13
1209,The drugs were in box,1,4,"Content-Container(e1,e2)",17
1210,He sent his love letter with confetti hearts inside the letter so they pour out everywhere when his sweetheart opens it,4,6,"Content-Container(e1,e2)",17
1211,He followed specific procedure for obtaining the engineer permit in Quebec met certain requirements receive an engineer permit,7,8,Other,0
1212,The party starts in an hour,1,5,Other,0
1213,Fact Magazine was an American publication that commented on controversial topics,5,9,"Message-Topic(e1,e2)",1
1214,This is how politician uses tourism as an instrument for power,3,5,"Instrument-Agency(e2,e1)",6
1215,In the hold the American ship I was feeling very queasy,2,5,"Component-Whole(e1,e2)",11
1216,The meeting was postponed later date,1,4,"Entity-Destination(e1,e2)",7
1217,The envelope contained DVD her mother,1,3,"Content-Container(e2,e1)",18
1218,Nearly all sensory information except the sense smell arrives here from the primary sensory neurons before being sent the cortex,3,14,"Entity-Origin(e1,e2)",13
1219,Almost all today automobiles have painted plastic bumpers because they are easily damaged during parking maneuvers,3,7,"Component-Whole(e2,e1)",12
1220,The resulting conflict caused the destruction the town The Conqueror Wisecrack Jackdaw most the citizens the town were transported,2,5,"Cause-Effect(e1,e2)",9
1221,They discovered good bit published literature about modification yeast with genes,7,10,Other,0
1222,As the right front wheel Senna car hit the wall the violent impact caused torsion on the steering column causing it break,12,14,"Cause-Effect(e1,e2)",9
1223,Magnetic field is made photons,1,4,"Component-Whole(e2,e1)",12
1224,The above exceptions fully resolved the evaluation photograph by court as result the claim,7,9,Other,0
1225,A few young lads were standing on the rod the tram wheel hanging on the windows with one hand,10,11,"Component-Whole(e2,e1)",12
1226,There are allegations that the massacre was organized,2,5,"Message-Topic(e1,e2)",1
1227,Scientists have successfully tested system that translates brain waves into speech,4,10,Other,0
1228,The entire colony nesting pairs Cassin auklets on California Farallones Islands for example abandoned their nests most likely because shortages krill their main food,2,4,"Member-Collection(e2,e1)",16
1229,The company has assembled five independent food safety experts serve on its newly formed Food Safety Advisory Council,1,8,Other,0
1230,The weather resulted in several deaths hundreds accidents,1,7,"Cause-Effect(e1,e2)",9
1231,In the Western Province the starch is stored in woven palm leaf bundles,5,12,"Content-Container(e1,e2)",17
1232,My new boss moved into his office yesterday,2,6,"Entity-Destination(e1,e2)",7
1233,Orange juice is popular breakfast beverage made from the extraction squeezing liquid from fresh oranges,0,1,"Entity-Origin(e2,e1)",14
1234,Vegetable oil as fuel is cleaner safer less expensive alternative petroleum based fuel,0,1,"Entity-Origin(e2,e1)",14
1235,A electrician pliers tool is crucial for severing any gauge wire with which the electrician is working,10,14,"Instrument-Agency(e1,e2)",5
1236,The fun run starts at noon,1,5,Other,0
1237,Once major center opium poppy production in Afghanistan the province production poppy had decreased by up % in,9,11,"Product-Producer(e2,e1)",4
1238,The clock has one brass bar attached chain on each side the pendulum,1,5,"Component-Whole(e2,e1)",12
1239,The site welcomed the premier industrial grinding wheels resource,6,7,Other,0
1240,A single silver coin collected from Salvation Army red kettle near Berlin was n't just another drop in the bucket,3,9,"Entity-Origin(e1,e2)",13
1241,One the opened red bag took all the money that was in the desk drawers ordered the workers lie down on the floor took substantial amount money with them,8,13,"Content-Container(e1,e2)",17
1242,The taxi was dropped into the river killing all passengers,1,6,"Entity-Destination(e1,e2)",7
1243,In his latest book he chronicles in great detail with knowledge the factory output diesel diesel electric locomotives,12,17,"Product-Producer(e2,e1)",4
1244,A Japanese ferry ran into whale,2,5,"Entity-Destination(e1,e2)",7
1245,Sixty five million years ago an asteroid caused the extinction the dinosaurs,6,9,"Cause-Effect(e1,e2)",9
1246,Since this afternoon the models have come into somewhat better agreement,4,10,Other,0
1247,Amtrak expects normal rush hour after fatal accident near Baltimore caused delays along the Northeast corridor,7,11,"Cause-Effect(e1,e2)",9
1248,As we saw earlier helicobacter is responsible for causing stomach ulcer,4,10,"Cause-Effect(e1,e2)",9
1249,Over % the cases ringworm the scalp are caused by Trichophyton fungus that infects the hairs causes them break,4,11,"Cause-Effect(e2,e1)",10
1250,No material was prepared for the sessions so the three musicians improvised an album worth material,10,15,"Product-Producer(e2,e1)",4
1251,So while naked he stole car with children inside dropped one out the window drove it through fence,5,7,Other,0
1252,Many shoulder problems are caused by the breakdown soft tissues in the shoulder region,1,7,"Cause-Effect(e2,e1)",10
1253,They signed him up sent him Dakar regiment Senegalese infantrymen that was leaving for Verdun in,7,9,"Member-Collection(e2,e1)",16
1254,Bernanke is featured on the cover the magazine that hits stores Friday,5,7,"Component-Whole(e1,e2)",11
1255,Tulip mania in the was caused by the massive influx newly discovered Gold into Amsterdam from the new world in particular the capture the Spanish Treasury fleet,1,9,"Cause-Effect(e2,e1)",10
1256,is major theme the exhibition as witnessed in the massive sculpture,0,4,"Message-Topic(e2,e1)",2
1257,The clock has LCD display with the following fields Date X Time offset utc,1,4,"Component-Whole(e2,e1)",12
1258,The key matches the private key that the sender used encrypt it,5,8,"Instrument-Agency(e1,e2)",5
1259,A polarized plug has two blades with one wider than the other,2,5,"Component-Whole(e2,e1)",12
1260,So just be clear Sir Gawain the Green Knight as we have come call it is an untitled poem written by an unknown author in about,18,23,"Product-Producer(e1,e2)",3
1261,Currently there is no known cure for asbestos cancer but several mesothelioma treatment regimens have proven be successful in helping the patient avoid pain discomfort caused by the disease,23,28,"Cause-Effect(e2,e1)",10
1262,When I came the second group popcorn kernels was stored in the refrigerator the third group was stored in the freezer,5,12,"Content-Container(e1,e2)",17
1263,Percentages denote the interest rate,0,4,Other,0
1264,He easily put the syringe in beaker water,4,6,"Entity-Destination(e1,e2)",7
1265,Amazon put ads into Kindle books,2,5,"Entity-Destination(e1,e2)",7
1266,In autumn gaggle tagged Canada geese takes over the waterfront lawn wild ducks land on the lake,2,5,"Member-Collection(e2,e1)",16
1267,The president increased the fleet by the construction one cruiser,1,7,Other,0
1268,In preparing this study the Pew Forum devised battery measures phrased as questions gauge the levels government social restrictions on religion in each country,8,9,"Member-Collection(e2,e1)",16
1269,Every couple seconds the flame flares up sometimes small fireball detaches itself float the ceiling the oven,14,16,"Component-Whole(e1,e2)",11
1270,This film was taken by flight personnel during World War Two as the two German saucers attacked squadron bombers,17,18,"Member-Collection(e2,e1)",16
1271,Each wolf in his pack plays character befitting his social status,1,4,"Member-Collection(e1,e2)",15
1272,The players flew Lexington on plane separate from the team,1,5,"Instrument-Agency(e2,e1)",6
1273,The patient experiences displaced emotional financial deprivation as well as anger after the divorce,6,13,"Cause-Effect(e2,e1)",10
1274,Now we are beginning understand how the brain works using interface technology,7,11,Other,0
1275,Regulations limit the use RFID technology for human tracking,5,8,Other,0
1276,I was little worried about making an ascent the crux with backpack,7,11,Other,0
1277,Kidd passed Jackson on the career assists list with an pass Rodrigue Beaubois with left in the third quarter,6,7,"Message-Topic(e2,e1)",2
1278,The body missing Fort Benning soldier was discovered inside piece air conditioning equipment Friday at downtown hotel,1,12,"Content-Container(e1,e2)",17
1279,The rest was funded from her small family savings,1,8,"Entity-Origin(e1,e2)",13
1280,The end the rod the mute spindle outside the bassoon is bent through an angle degrees where the leads up it,3,6,"Component-Whole(e1,e2)",11
1281,Implementation this proposal is being discussed at the state level,0,9,Other,0
1282,When approaching the Observatory they unlock the padlock on the gate the security fence entered the Observatory grounds relock the gate,7,10,"Component-Whole(e1,e2)",11
1283,This is based on the notion that human is basically purpose driven animal,10,12,Other,0
1284,This orange marigold was the flower that people used remember their dead by,5,7,"Instrument-Agency(e1,e2)",5
1285,He stuffed the letter into an empty lemonade bottle corked it tossed it overboard forgot,3,8,"Entity-Destination(e1,e2)",7
1286,A huddle photographers was waiting outside the courtroom,1,2,"Member-Collection(e2,e1)",16
1287,In addition the CPU bus the controller is connected each safety unit the safety controller,4,6,"Component-Whole(e1,e2)",11
1288,Students local residents have worked together produce bricks the mason has completed most the work on the first guest house,0,7,"Product-Producer(e2,e1)",4
1289,This is supplemented by columns articles reflecting on fantasy literature past as well as the occasional interview,4,10,"Message-Topic(e1,e2)",1
1290,The charger was in suitcase that was lost by the airline,1,4,"Content-Container(e1,e2)",17
1291,We have dumped the spam into the junk folder,4,7,"Entity-Destination(e1,e2)",7
1292,The violinist produces sound by drawing bow across one or more strings which may be stopped by the fingers the other hand,1,6,"Instrument-Agency(e2,e1)",6
1293,Smoke is one the leading causes kidney failures,0,6,"Cause-Effect(e1,e2)",9
1294,All the data is stored in Microsoft Access database,2,8,"Content-Container(e1,e2)",17
1295,These companies have delivered new products or service their clients,5,9,"Entity-Destination(e1,e2)",7
1296,Germs are microscopic organisms that cause sickness or disease,0,8,"Cause-Effect(e1,e2)",9
1297,The current debate swirling around Leather comments seems suggest both,2,6,"Message-Topic(e1,e2)",1
1298,I have just bought silver necklace from lady who makes her own with the fingerprints my children on it,4,5,Other,0
1299,These breakdown products are not only losses sucrose but also have effects reducing the final output processed sugar from the factory,17,20,"Product-Producer(e1,e2)",3
1300,The flour was in bin about six feet square by four feet high only small round hole at the top,1,4,"Content-Container(e1,e2)",17
1301,The Earth thin rocky crust is composed silicon aluminum calcium sodium potassium,4,7,Other,0
1302,The sows were moved into isolated farrowing houses at least 5 days before farrowing,1,7,"Entity-Destination(e1,e2)",7
1303,MFX are implemented at the design stage where the designer creates artwork using the MetalFX palettes actions,9,15,"Instrument-Agency(e2,e1)",6
1304,The horizontal branch is part the diagram that represents stars that burn helium in thier cores,2,6,"Component-Whole(e1,e2)",11
1305,Yellow fever is caused by infection with yellow fever virus which is transmitted by the bite infected mosquitoes,1,9,"Cause-Effect(e2,e1)",10
1306,The painting was one the first used as poster in an advertising campaign for soap powder,11,14,"Message-Topic(e1,e2)",1
1307,While making observations the microfossil through the binocular microscope or on computer monitor the investigator needed manually move the specimen,2,8,Other,0
1308,Cuba is already customer now the state development bank BNDES plans finance the export ethanol knowhow Africa where the hopes countries such as Ghana are pinned on the jatropha plant,28,29,"Product-Producer(e1,e2)",3
1309,The nuclear hormone receptor superfamily consists structurally related transcription factors large number orphan receptors for which the ligand has not yet been identified,4,9,"Component-Whole(e2,e1)",12
1310,When watch nightingales is at the height breeding season the males serenade their prospective brides with one the most glorious celebrated bird songs there is,1,2,"Member-Collection(e2,e1)",16
1311,Pet owners have released pythons into the wild when they had grown too large for the owners care for them,4,7,"Entity-Destination(e1,e2)",7
1312,Biddle has done thorough job cutting through the thicket contradictions fantasies that surround the strategic bombing debate from,8,9,Other,0
1313,Three houses are handed over beneficiaries,1,5,"Entity-Destination(e1,e2)",7
1314,The term Baroque was derived from Portuguese word meaning pearl irregular shape,1,7,"Entity-Origin(e1,e2)",13
1315,The former prime minister daughter made numerous offensive comments about French tennis player,4,8,"Product-Producer(e2,e1)",4
1316,A freight train on the Chicago Alton Railroad while approaching this city yesterday morning dashed into drove cattle killing three them,16,17,"Member-Collection(e2,e1)",16
1317,This Italian dish is made with gelatinous veal shanks that are braised with fresh vegetables rich stock,2,8,"Component-Whole(e2,e1)",12
1318,Pink Kodiak is coming in like rake colts,6,7,"Member-Collection(e2,e1)",16
1319,On August C Squadron the Lancers made successful charge against dismounted squadron Prussian dragoons,11,13,"Member-Collection(e2,e1)",16
1320,This manuscript describes two specific features that we have found be effective in generating high quality models,1,5,"Message-Topic(e1,e2)",1
1321,He put the card into his mobile phone,3,6,"Entity-Destination(e1,e2)",7
1322,Joseph Herrin dear brother in the Lord has added insight into the message,9,12,"Entity-Destination(e1,e2)",7
1323,Purely textual posters advertised the plays Shakespeare made citizens aware government proclamations for centuries,2,5,"Message-Topic(e1,e2)",1
1324,The conceptual foundation for creation the Internet was largely created by three individuals research conference each which changed the way we thought about technology by accurately predicting its future,2,12,"Product-Producer(e1,e2)",3
1325,Following the convention sports theme we placed fun invitation with an AstroTurf look inside branded water bottle,8,16,"Entity-Destination(e1,e2)",7
1326,A dissimulation small birds arrived near our place last week took over our tree outside,1,3,"Member-Collection(e2,e1)",16
1327,Even though his old suffered from severe burns on her body caused by boiling water spilled on her father refuses allow ambulance take his daughter Hadassah because advised otherwise,7,13,"Cause-Effect(e2,e1)",10
1328,This study presents comprehensive methodology for calculating the cost society various criminal acts,9,12,Other,0
1329,The launcher released satellite into geosynchronous transfer orbit at GMT,3,7,"Entity-Destination(e1,e2)",7
1330,In Western Australia the the hatchet is pointed the natives after making the notch stick the tool in the bark lift themselves up with it,4,5,"Component-Whole(e1,e2)",11
1331,A wisp snipes utter their well known cry scud over the heath one these is secured,1,2,"Member-Collection(e2,e1)",16
1332,The fad started when certain brand socks manufactured by an American company became popular among Japanese schoolgirls,5,11,Other,0
1333,In taped interview she recounted two occasions on which she had lent money,2,6,"Message-Topic(e1,e2)",1
1334,An unnamed lifeguard was pushed into the pool,2,7,"Entity-Destination(e1,e2)",7
1335,When we were in junior high school my friend made map the school lunch tables according popularity,8,10,"Product-Producer(e2,e1)",4
1336,After 5 minutes or so the problem went away from an operational perspective,6,12,Other,0
1337,theory corn spirits fertility have thus needed no further so their distribution function remains unclear,1,2,Other,0
1338,The author cites the case an American citizen during the general war,1,4,Other,0
1339,The cover the magazine featured the famous image Einstein taken in by American portrait photographer Philippe Halsman,1,3,"Component-Whole(e1,e2)",11
1340,Two other structures in the depth the midbrain that are important for normal motor function are the red nucleus not visible the substantia nigra,7,18,"Component-Whole(e2,e1)",12
1341,On 8 February Ulysses reached Jupiter for the that placed the spacecraft in polar orbit,11,14,"Entity-Destination(e1,e2)",7
1342,A tealight or nightlight is candle used in tea or food warmers or because they last for many hours as night light,5,11,"Component-Whole(e1,e2)",11
1343,The painter continues adding paint on top still wet paint rather than waiting lengthy amount time allow each layer paint dry,1,4,"Instrument-Agency(e2,e1)",6
1344,The new boys be it Ranbir or Imran or Shahid or Neil are way too be taken seriously as action heroes the slightly senior Abhishek Bachchan John Abraham Hrithik Roshan are content playing roles that require sophistication,2,2,"Member-Collection(e2,e1)",16
1345,The bomb weighing 6kg was inside box fitted with an electronic detonator,1,6,"Content-Container(e1,e2)",17
