id,sentence,e1_pos,e2_pos,label
1681,"The money was hidden in an air-conditioning system 's return duct , which conveniently connected to the room behind .",1,9,"Content-Container(e1,e2)"
1682,"Individuals were granted a wrack of rabbits and some help building a rabbit run in their backyard to start up a small rabbit farm ( -- 40 rabbits and a hutch , perhaps ? ) , along with automatic membership in a cooperative rabbit abatoir .",4,6,"Member-Collection(e2,e1)"
1683,A warehouse user with limited authority can not crate the required bufferpool .,1,2,"Instrument-Agency(e1,e2)"
1684,Huge money is given to companies for boosting economy .,1,5,"Entity-Destination(e1,e2)"
1685,"The reaction from the international press , which I am sure you here in Tokyo have noticed , has been very wide and detailed .",1,5,"Cause-Effect(e2,e1)"
1686,All houses are now built this way .,1,6,Other
1687,This lovely song by a virtually unknown quartet from Oklahoma epitomizes what a great wedding song is .,2,7,"Product-Producer(e1,e2)"
1688,"When the first model sank in August 1991 , the crash caused a seismic event registering 3.0 on the Richter scale , and left nothing but a pile of debris at 220m of depth .",10,13,"Cause-Effect(e1,e2)"
1689,A test payment was put into my bank account on October 13th .,2,8,"Entity-Destination(e1,e2)"
1690,"This an alliance of various elements connected into the political elite with the old PRD forces , who have adopted a strategy of postponing efforts to lead any fight with the domestic bourgeoisie .",2,5,"Member-Collection(e2,e1)"
1691,These changes have been reflected in the general policies and approach of the Forestry Commission .,1,8,"Message-Topic(e2,e1)"
1692,The drying step is achieved within 4 hours from the exit of the barley spent grain from the beer or malt production .,15,21,"Entity-Origin(e1,e2)"
1693,A meeting called by India 's government to discuss the creation of a separate state in the tea-producing Darjeeling hills has ended without a breakthrough .,1,10,"Message-Topic(e1,e2)"
1694,The G-53 ended its statement with one of the many speculations that have arisen from the president 's contentious departure from the country .,16,22,"Entity-Origin(e1,e2)"
1695,"The purpose of this test was to report to the American public on the academic achievement of individual students , schools , districts , and states .",4,15,Other
1696,"A year after the government applied a tourniquet to the banking industry , the bleeding has slowed .",4,7,"Instrument-Agency(e2,e1)"
1697,"The boy runs away from the school when he sees his father 's insensitivity , but the teacher and his other friends bring him back .",1,6,"Entity-Origin(e1,e2)"
1698,"For example , driving recklessly and causing an auto accident that result in the death of another driver or passenger could be qualified as manslaughter .",9,14,"Cause-Effect(e1,e2)"
1699,That coupled with the death and destruction caused by the storm was a very traumatic experience for these residents .,4,10,"Cause-Effect(e2,e1)"
1700,I 've been asking for a fizzy milk drink for a while .,7,8,Other
1701,"Manufacturers have traditionally been more concerned about factors like price , quality , or cycle time , and not as concerned over how much energy their manufacturing processes use .",0,7,Other
1702,The midbrain dopaminergic ( mDA ) neurons of the substantia nigra and the ventral tegmental area play a fundamental role in the control of voluntary movement .,6,9,"Component-Whole(e1,e2)"
1703,His efforts were documented in the diaries of his sister Katherine .,1,6,"Message-Topic(e2,e1)"
1704,The infection came from a wound .,1,5,"Cause-Effect(e2,e1)"
1705,The public are welcome to visit the lakes and dams that make up Tasmania 's hydro electric network .,7,17,"Component-Whole(e1,e2)"
1706,The emission of electromagnetic radiation from cell phones continues to become a growing concern .,4,6,"Cause-Effect(e2,e1)"
1707,A van used by debtors in the business of transporting passengers was a tool of the trade for lien avoidance purposes .,1,4,"Instrument-Agency(e1,e2)"
1708,"The English writer , poet , philologist , and university professor was best known as the author of the classic high fantasy works The Hobbit , The Lord of the Rings and The Silmarillion .",10,22,"Product-Producer(e2,e1)"
1709,It carried 1500 gallons of water in its split saddle tanks and 700 gallons of fuel oil in a bunker behind the cab .,16,19,"Content-Container(e1,e2)"
1710,"The explosives were in a box covered by sheet metal , while the wooden handle and fuse were those of the stick hand grenade .",1,5,"Content-Container(e1,e2)"
1711,Half of the new subscribers hailed from China 's vast countryside .,4,10,"Entity-Origin(e1,e2)"
1712,We derive a pair of optimal weights on the dollar in a currency basket to stabilize their trade balances for both of the countries .,9,13,Other
1713,Time travel is a common theme in science fiction .,0,7,"Message-Topic(e2,e1)"
1714,The handwritten note was inside a plastic baggy .,2,6,"Content-Container(e1,e2)"
1715,This happens when a collecting agent inadvertently applies the PNS discount to an ineligible vessel .,5,10,"Instrument-Agency(e2,e1)"
1716,The stress of electoral defeats exposed Mr. Hoyte to opposite pressures within the constituency of his supporters .,13,16,"Member-Collection(e2,e1)"
1717,"Quite a large part of the religious establishment was opposed to alchemy , but , given the fraudulent tripe written by most of the alchemists , that was no bad thing .",18,24,"Product-Producer(e1,e2)"
1718,"When a bottle full of air is opened under water , the water will not enter the bottle .",2,5,"Content-Container(e2,e1)"
1719,Sumatera ( Yagasu ) made a profit from the selling of women groups ' handicrafts activities .,6,9,"Cause-Effect(e2,e1)"
1720,"Scientists have assembled the first global geological map of the Solar System 's largest moon - and in doing so have gathered new evidence into the formation of the large , icy satellite .",0,7,"Product-Producer(e2,e1)"
1721,Lambert 's wartime experiences were related in his excellent 1973 memoir .,3,10,"Message-Topic(e2,e1)"
1722,The correct targeting signal is imported into the peroxisomes .,3,8,"Entity-Destination(e1,e2)"
1723,"The ultimate D.C.-related work on this topic , in recent decades , anyway , may be Jerzy Kosinski 's satirical Being There , the inspiration for a Peter Sellers film by the same name .",29,33,Other
1724,"In the older sections of the city the street in front of one 's house is considered the person 's responsibility , it is seen as an extension of their house .",3,6,"Component-Whole(e1,e2)"
1725,"In some of the other stories , an orphan runs away from the orphanage .",8,13,"Entity-Origin(e1,e2)"
1726,The dolphin uses its flukes for swimming and its flippers for steering .,1,4,"Component-Whole(e2,e1)"
1727,Construction industry 's worth is invested into construction plant and equipment .,3,8,"Entity-Destination(e1,e2)"
1728,"Frustrations , threats , and conflicts cause stress .",0,7,"Cause-Effect(e1,e2)"
1729,Kegs of Guinness rolled off and then were grabbed and stacked up against the wall by the pub owner .,14,18,Other
1730,In this section are horses born in Tori stud that have made Tori breed famous and maintained that fame .,4,8,Other
1731,"Food comes from the grocery store , packaged , sanitized , frozen or chilled .",0,5,"Entity-Origin(e1,e2)"
1732,The treatment includes an aromatherapy mask and moisturizer .,1,5,"Component-Whole(e2,e1)"
1733,As a consequence it sold bonds indirectly to the public with the help of a syndicate of banks .,15,17,"Member-Collection(e2,e1)"
1734,Player one can become white and block all the bullets while player two blasts the boss with the opposite color .,11,19,"Instrument-Agency(e2,e1)"
1735,"Compassion was originally from a people known as the Remote , a splinter group of the time travelling voodoo cult Faction Paradox .",0,5,"Entity-Origin(e1,e2)"
1736,The imperative originates from an authority which transcends the speaker .,1,5,"Entity-Origin(e1,e2)"
1737,Meyer lemon marmalade is an amazingly delicious version of fruit recipe .,1,2,"Entity-Origin(e2,e1)"
1738,From the Pulitzer Prize-winning author of March comes this novel - inspired by a true story - that traces the journey of a rare illuminated manuscript through centuries of exile and war .,4,9,"Product-Producer(e2,e1)"
1739,"Simon roused himself slowly from a wonderful dream revolving around a whole pryde of baby griffins , just waiting for him to play with them .",12,15,"Member-Collection(e2,e1)"
1740,"Topping is the indiscriminate removal of a tree 's crown , cutting off large branches and the main stem of the tree , leaving large branch stubs .",7,9,"Component-Whole(e2,e1)"
1741,"Traditionally , chandlers made both soap and candles , because a long time ago both of these products were made with lard .",2,7,"Product-Producer(e2,e1)"
1742,Comments are parts of the source code disregarded by the compiler .,0,5,"Component-Whole(e1,e2)"
1743,These piezos have 2.5 inch pretinned lead wires solidly attached with solder joins protected by a dab of silicone .,1,7,"Component-Whole(e2,e1)"
1744,The Baha'u'llah religion has liberated human minds by a prohibition within His Faith against any caste with ecclesiastical prerogatives .,2,9,"Product-Producer(e2,e1)"
1745,Papers of conductor and arranger Andre Kostelanetz are being donated to the library by the musician 's estate .,0,12,"Entity-Destination(e1,e2)"
1746,"So almost immediately after Pearl Harbor , Hawaii 's Governor calls for citizens and their guns to man checkpoints and patrol beaches against an expected Japanese invasion .",12,15,"Instrument-Agency(e2,e1)"
1747,"Cyber squatter- A person who buys domain names , and holds them with the intent of making a profit from the selling of the domain name .",18,21,"Cause-Effect(e2,e1)"
1748,He needs to capture 22nd century criminals who have escaped by time-traveling .,6,11,"Instrument-Agency(e2,e1)"
1749,"She and colleagues exhaustively tested the sample , sequencing the proteins they found with a new and better mass spectrometer .",2,19,"Instrument-Agency(e2,e1)"
1750,The corpses were then placed in cotton cloth wrappings and put inside of a wooden case that was put inside of another case that was decorated with details of their life and a mask of their face .,1,8,"Entity-Destination(e1,e2)"
1751,Our ancestors have added high protein into their diet .,5,8,"Entity-Destination(e1,e2)"
1752,We served a bowl of delicious soup in a dish of ivory china .,6,9,"Content-Container(e1,e2)"
1753,This brotherhood of halfling rogues is the most powerful criminal organisation in town .,1,4,"Member-Collection(e2,e1)"
1754,There are a few simple steps you take to ensure you have selected the correct landscape company .,15,16,"Product-Producer(e1,e2)"
1755,The company builds many of the machines used in the manufacturing of the beds and the upfitting of the chassis .,1,6,"Product-Producer(e2,e1)"
1756,Ten-year-old Huynh Thanh Tung was fortunate to survive when the tiny war relic burst into a ball of flames and flying metal as he stuffed the bomb into a bottle .,26,29,"Entity-Destination(e1,e2)"
1757,Flax seed oils is the form in which the oil was extracted from the seed .,1,2,"Entity-Origin(e2,e1)"
1758,"The muscular dystrophies are caused by genetic defects , which means they are inherited at birth .",2,7,"Cause-Effect(e2,e1)"
1759,The signal peptide is derived from a protein that is exported by the cell .,2,7,"Entity-Origin(e1,e2)"
1760,A Boy Scout in North Carolina found a purse with money in it .,8,10,"Content-Container(e2,e1)"
1761,The researchers inserted caffeine into baked goods .,3,6,"Entity-Destination(e1,e2)"
1762,He was 10 to 11 meters away from the accused when the latter ran away from the scene of the incident .,9,17,"Entity-Origin(e1,e2)"
1763,The slaves were brought into the country against their will .,1,6,"Entity-Destination(e1,e2)"
1764,"In a two-mirror telescope equipped with an active optics system usually M2 is used to correct the aberrations originated by optical reasons , i.e . defocus and coma .",17,21,"Cause-Effect(e2,e1)"
1765,"The addition of water to the tank caused a runaway chemical reaction , resulting in a rapid rise in pressure and temperature .",1,11,"Cause-Effect(e1,e2)"
1766,"In recent months , civility has been a topic of much discussion in the newspapers .",4,11,"Message-Topic(e2,e1)"
1767,Other ritual practices attributed to berserks represent the initiation of the young warrior into a band of berserkers .,15,17,"Member-Collection(e2,e1)"
1768,A new insulated pizza bag is delivered to the market .,4,9,Other
1769,Pigs really fly ... .with the help of a trampoline .,0,9,"Instrument-Agency(e2,e1)"
1770,"Snails and slugs cause damage to seedlings , flowers , vegetables and shrubs .",2,4,"Cause-Effect(e1,e2)"
1771,"Even in World War II , American soldiers targeted the men with the katanas first because their killing power was feared and respected .",7,13,Other
1772,"For me , the most interesting thing was some pottery by people who are so well known for their pottery like Picasso or Miro .",11,19,"Product-Producer(e2,e1)"
1773,"And a 22-page internal report by a computer security company named MANDIANT , dated August 18 , fleshes out many details of the June-July breaches .",4,9,"Product-Producer(e1,e2)"
1774,"Having delivered her charge , she had silently returned to her tree deep in the woods .",11,15,Other
1775,Modern economists have exported equilibrium concepts to political science .,5,8,"Entity-Destination(e1,e2)"
1776,TextMate is hailed as the best editor for programmers by many people .,6,8,"Instrument-Agency(e1,e2)"
1777,The most suitable callus to establish suspension cell cultures was obtained from seeds .,3,12,"Entity-Origin(e1,e2)"
1778,The snowstorm caused a major catastrophe on the West Virginia Turnpike .,1,5,"Cause-Effect(e1,e2)"
1779,Tom 's prominient selection of various rye spirits wins him kudos today .,6,7,"Entity-Origin(e2,e1)"
1780,Glaucoma is one of the leading causes for blindness and currently about 90 million patients worldwide are affected by the disease .,0,8,"Cause-Effect(e1,e2)"
1781,Red Line conductor Ivan Hardaway prepares the train for departure from the station .,7,12,"Entity-Origin(e1,e2)"
1782,Brittany Murphy 's bedroom was filled with prescription drugs .,3,8,Other
1783,"In exclusive buildings , a private restaurant is part of the package .",6,11,"Component-Whole(e1,e2)"
1784,There are everyday actions that can help prevent the spread of germs that cause respiratory illnesses like influenza .,11,17,"Cause-Effect(e1,e2)"
1785,The outbreak was caused by the live polio virus that is used in vaccines given orally the preferred method in developing countries because it is cheaper and does n't require medical training to dispense .,1,8,"Cause-Effect(e2,e1)"
1786,Im a wheelchair user in a third floor flat serviced by only 1 lift .,2,3,"Instrument-Agency(e1,e2)"
1787,"A deputy from Sarkozy 's ruling UMP party , Etienne Pinte , also said he was `` very shocked '' by the charter flight .",1,7,"Member-Collection(e1,e2)"
1788,"The gates of the palace of John the Priest were `` made of sardius , with the horn of the horned snake inwrought , so that no man might bring poison within '' .",1,4,"Component-Whole(e1,e2)"
1789,"The agar was contained in a polyethylene tube 3 , O mm inside diameter and about 1 mm of agar protruded .",1,6,"Content-Container(e1,e2)"
1790,The imams were removed from a US Airways flight awaiting departure from the Minneapolis-St. Paul airport .,8,15,"Entity-Origin(e1,e2)"
1791,The vagina was sutured behind the neourethra ; the vagina accommodated a size 12 dilator .,9,14,Other
1792,The firing of transition T_continuous_call represents the arrival of a handoff call from neighbour cells .,11,14,"Entity-Origin(e1,e2)"
1793,"In these last three paragraphs , then , Wordsworth began by first of all considering his omissions from previous books .",16,19,"Entity-Origin(e1,e2)"
1794,"September normally marks the arrival of the earliest run of fish into lake tributaries , and peak runs occur in October .",8,10,Other
1795,All-terrain vehicle sales sink into muck .,1,5,Other
1796,The county fair drew a large crowd of USDA employees .,6,9,"Member-Collection(e2,e1)"
1797,"Rice spirits in Asia are almost always female and regarded as a kind of mother figure ( thus , the connection to fertility and tossing it at the bride ) .",0,1,Other
1798,"As a result of their relatively narrower range of options , predictions regarding their behavior tend to be more accurate .",7,9,"Member-Collection(e2,e1)"
1799,The air in the middle ear space is important to allow the ear drum and middle ear bones to be vibrated by sounds collected by the ear canal .,12,13,"Component-Whole(e2,e1)"
1800,Much of the resulting work is summarised in his joint book with Howitt .,4,10,"Message-Topic(e2,e1)"
1801,"And there 's you , floating a couple of thousand feet up in the sky in a tiny little basket .",14,19,Other
1802,Standards at a secondary school are criticised in a report by the inspection body .,0,9,"Message-Topic(e2,e1)"
1803,Roots that cross over the trunk of a tree instead of growing outward are known as girdling roots and should be removed since they can choke trees .,5,8,"Component-Whole(e1,e2)"
1804,"Accidentally , I poured too much sugar into my tea .",6,9,"Entity-Destination(e1,e2)"
1805,He used to bring some cigarettes into these Middle Eastern countries .,5,10,"Entity-Destination(e1,e2)"
1806,Trade Union Side reiterated its concerns that the public sector was effectively subsidising these events and requested that this practice cease .,5,8,Other
1807,The momentum of their movement breaks the circle as the arm of the foreground dancer reaches out .,10,14,"Component-Whole(e1,e2)"
1808,There 's a pitying of turtledoves cooing to their mate .,3,5,"Member-Collection(e2,e1)"
1809,The Civil Rights Hero award was bestowed to a disability rights activist .,4,11,"Entity-Destination(e1,e2)"
1810,The pendant encloses a tumbled stone .,1,5,"Content-Container(e1,e2)"
1811,"These drugs also cause headaches and nausea , affect your internal organs and raise your bad cholesterol .",1,6,"Cause-Effect(e1,e2)"
1812,One day the little orphan boy ran away from the orphanage .,5,10,"Entity-Origin(e1,e2)"
1813,"The strand was devoted to music theatre and film music and featured interviews with songwriters , composers , and orchestrators .",1,6,"Message-Topic(e1,e2)"
1814,"The restructuring charge was comprised of $ 11.9 million of cash expenditures for severance benefits and other costs and $ 8.2 million of non-cash charges , primarily for the write-down of impaired assets .",2,11,"Component-Whole(e2,e1)"
1815,Well I know quite a few people who get dissatisfaction from laughing at retards .,9,11,"Cause-Effect(e2,e1)"
1816,Works in this exhibition investigate humanity 's relationship with the world .,0,7,"Message-Topic(e1,e2)"
1817,The Bush administration hid the true fiscal picture with a plethora of accounting gimmicks .,2,13,"Instrument-Agency(e2,e1)"
1818,Adenosine deaminase converts purine riboside into an analog of a reactive intermediate .,0,7,Other
1819,Nectar is the sweet flower sap that bees make into honey by evaporating off the excess water .,7,10,"Product-Producer(e2,e1)"
1820,"As time passed , aluminum formed itself into a can , a lid , and a tab .",4,9,Other
1821,They still store the bottle in a chilling bucket or the refrigerator .,4,8,"Content-Container(e1,e2)"
1822,The 08 campaign green jobs was the main talking point of any speech .,4,12,"Message-Topic(e2,e1)"
1823,A Surfside man running away from a dog that broke away from its owner was struck by a bus in the chase .,7,13,"Entity-Origin(e1,e2)"
1824,"The banker , who has put up in a Sudder Street hotel , told the sleuths that he had entered India on October 20 , 2009 .",1,11,"Product-Producer(e2,e1)"
1825,The artists carve away the surface with a chisel .,1,8,"Instrument-Agency(e2,e1)"
1826,Immigrants accounted for more than half of Britain 's population growth in recent years .,0,9,"Cause-Effect(e1,e2)"
1827,"This marmalade is made of the finest oranges , to create a delecious taste .",1,7,"Entity-Origin(e1,e2)"
1828,Iraqi soldiers inspect the damage after the explosion in a school in Baghdad .,4,7,"Cause-Effect(e2,e1)"
1829,"Sam , who formerly was a sportsman , and in his apprenticeship used to frequent Barnet races , keeps a high chaise , with a brace of seasoned geldings .",25,28,"Member-Collection(e2,e1)"
1830,"The cartoons originated in Denmark 's Jyllands-Posten paper and have been reprinted in newspapers in France , Germany , Italy , Hungary , the Netherlands and Spain - who say they were exercising their right to free speech .",1,7,"Entity-Origin(e1,e2)"
1831,A more coded reproof came from the chairman of parliament 's foreign affairs committee .,3,7,"Product-Producer(e1,e2)"
1832,The grenade was inside a tin alongside the hotel fence .,1,5,"Content-Container(e1,e2)"
1833,The principal has put computers into our classroom .,4,7,"Entity-Destination(e1,e2)"
1834,Olive Garden is a family of local restaurants focused on delighting every guest with a genuine Italian dining experience .,4,7,"Member-Collection(e2,e1)"
1835,The computer mouse has been the input device of choice for a long time now in the computer world .,1,2,"Component-Whole(e2,e1)"
1836,The rule is the subject of a legal challenge brought by ABC and its coalition partners .,1,7,Other
1837,"Throughout her career she has worked extensively with the California Department of Education and the Commission on Teacher Credentialing where she has been a contributing panel member on the writing of the California Subject Examination for Teachers ( CSET ) , the California Music Standards , and the CalTPA , the California Teacher Preparation Assessment , as well as an evaluator for the Single Subject Music Preparation Submission Documents .",25,26,"Member-Collection(e2,e1)"
1838,For example the steppingmotor has a coil with a resistance of 5 ohm and a nominal current of 1 Amp .,3,6,"Component-Whole(e2,e1)"
1839,It is a literary style which portrays crime and violence in an unsentimental way .,4,7,Other
1840,The cutting machine contains 13 circular blades mounted on a cutting axis .,2,6,"Component-Whole(e2,e1)"
1841,The 25-member steering committee that drafted the document also passed it through two Palestinian GFM organizers .,3,7,"Product-Producer(e2,e1)"
1842,"The student guide , consisting of a list and description of courses offered by each Faculty , is published on the website of the University .",2,21,"Component-Whole(e1,e2)"
1843,"In other words such people accept a form of mathematical platonists , whether or not they label themselves that way .",7,10,Other
1844,The book created a picture of social and religious identity .,1,9,"Message-Topic(e1,e2)"
1845,So this morning started early with a chorus of caws coming from a storytelling of crows outside my bedroom window .,13,15,"Member-Collection(e2,e1)"
1846,That paper received favorable review .,1,4,"Message-Topic(e2,e1)"
1847,He was wearing a short sleeve shirt with a tie .,5,6,"Component-Whole(e1,e2)"
1848,The Nepalese government sets up a committee to inquire into the alleged misuse of diplomatic passports .,6,12,Other
1849,The investigation was concerning a series of letters received at the House containing non-noxious white powder .,1,5,Other
1850,"Upon the arrival of an embassy from the injured to demand satisfaction , Romulus decided that those who had done the injury should be delivered up .",5,8,"Entity-Origin(e1,e2)"
1851,Industries have pushed fishermen into fragile marine reserves .,3,7,"Entity-Destination(e1,e2)"
1852,The three prints are a great example of a rare vintage photograph by an artist who had an influence on later 20th-century photographers .,11,14,"Product-Producer(e1,e2)"
1853,The water was in a cup .,1,5,"Content-Container(e1,e2)"
1854,Thankfully the plump of wildfowls brought about the destrcution of the wild cats and that ended the whole fiasco .,2,4,"Member-Collection(e2,e1)"
1855,But the result was derived from a small number of actual HIV cases .,2,12,"Entity-Origin(e1,e2)"
1856,The plasma was generated by an RF discharge between two parallel electrodes whose diameter was 100 mm and separation was 40 mm using pure silane gas .,1,7,Other
1857,The European Commission has released a set of slides explaining nanotechnology .,8,10,"Message-Topic(e1,e2)"
1858,"With these two tools , the dataset was reduced from its original size of over 200 features into 17 % .",6,12,Other
1859,"As for the main attraction : the pnuematic function allowing the crane arm to be raised and lowered , well , it 's a simple job made a little more complex .",11,12,"Component-Whole(e2,e1)"
1860,Old nests are used year after year by the carpenter bee .,9,10,Other
1861,The surfer is dropped into a 35-foot wave at Waimea Bay .,1,7,"Entity-Destination(e1,e2)"
1862,The health professional uses a lamp during the test .,2,5,"Instrument-Agency(e2,e1)"
1863,The world is governed by mathematical laws .,1,6,Other
1864,The hive entrances were oriented in different directions and painted with different colors to reduce colony drift of foraging bees .,16,19,"Member-Collection(e2,e1)"
1865,Ruling is in ink and was generally done by the scribe who wrote the quire .,10,14,"Product-Producer(e2,e1)"
1866,The broker is entitled to commission from the selling of your property .,5,8,"Cause-Effect(e2,e1)"
1867,"The Agenda 21 document , agreed in Rio , includes a section on international co-operation .",3,11,"Component-Whole(e2,e1)"
1868,The dulche de leche ice cream was the best part of this dessert ; it was creamy and not too sweet as I usually find this flavor .,5,12,"Component-Whole(e1,e2)"
1869,"The crater of the vulcano Solfatara shows a great variety of botanica species , varying greatly from each other due to climatic and pedologic reasons .",1,4,"Component-Whole(e1,e2)"
1870,The suspect pushed the victim into a deep cliff .,4,8,"Entity-Destination(e1,e2)"
1871,"In the first year of King Cyrus , the king issued a decree .",9,12,"Product-Producer(e2,e1)"
1872,The judgment was reported in local newspapers on Saturday .,1,6,"Message-Topic(e2,e1)"
1873,Glaucoma is a group of neurodegenerative disorders characterized by the death of retinal ganglion cells and by a specific deformation of the optic nerve .,0,6,Other
1874,The president of this society is responsible for presiding over all meetings ( both general and executive ) .,1,4,"Member-Collection(e1,e2)"
1875,Parental pressures of unemployment and poverty lead to drug abuse and alcoholism or stress and depression which have a profound effect on children .,3,11,"Cause-Effect(e1,e2)"
1876,Japan injected funds into struggling companies .,2,5,"Entity-Destination(e1,e2)"
1877,"Inside the car , keys were found in the ignition and Codario-Ferrino 's license was discovered inside a purse on the passenger 's seat .",4,9,Other
1878,Scattered among this streak of Celtic tigers are billions of euro loaned by Anglo Irish Bank over the past decade in a calculated play for lucrative returns .,3,6,"Member-Collection(e2,e1)"
1879,There is a gulp of cormorants that scavenge this stretch of the Sacramento River where I usually kayak .,3,5,"Member-Collection(e2,e1)"
1880,He has always waited patiently in the studio until his master 's voice signals that it was time to go home .,10,12,"Component-Whole(e2,e1)"
1881,The ship left from the port of Bremen with 434 passengers .,1,5,"Entity-Origin(e1,e2)"
1882,A debtor gets liens released on personal household possessions for much less than the underlying debt on those secured possessions with redemption .,1,21,"Instrument-Agency(e2,e1)"
1883,The balls were dropped into the mud from a height of about 5 metres .,1,6,"Entity-Destination(e1,e2)"
1884,STE Oil Company has all your white mineral oil needs covered .,7,8,"Entity-Origin(e2,e1)"
1885,What happens is that the system builds many inferior blood vessels in the eye to take the place of the vessels that are dying .,5,10,"Product-Producer(e2,e1)"
1886,"The stage was in the cellar , and all the lights in the shop were out ; groans rose from a trap-door .",10,13,"Component-Whole(e1,e2)"
1887,The mason has completed a concrete wall that creates a bathroom and storage area adjacent to a preschool classroom .,1,6,"Product-Producer(e2,e1)"
1888,Dartmouth nearly narrowed the gap to one goal when a slapshot popped out of the glove of Princeton goalie Zane Kalemba '10 .,10,15,"Entity-Origin(e1,e2)"
1889,The magnetic field is generated by an electric current circulating in the star 's interior .,1,8,"Cause-Effect(e2,e1)"
1890,It 's funny my friend just used agave nectar in his margaritas .,7,8,"Entity-Origin(e2,e1)"
1891,This research aimed to select and validate a battery of outcome measures of recovery after lower limb burn injury ( LLBI ) .,8,11,"Member-Collection(e2,e1)"
1892,The species makes a squelching noise .,1,5,"Cause-Effect(e1,e2)"
1893,Tax cuts for rich are thrown into doubt .,0,7,Other
1894,It is part of a furniture line conceived for Anthropologie by British interior designers .,6,13,Other
1895,This book supplies us with a good deal of material for his biography .,1,9,"Message-Topic(e1,e2)"
1896,The second discourse concerned the role of democracy in the new republic .,2,5,"Message-Topic(e1,e2)"
1897,"The political unity of the Iroquois was the source of their power , but it was by no means perfect .",2,11,"Cause-Effect(e1,e2)"
1898,"Most of Birdtown 's earliest residents hailed from Eastern European countries , including Slovakia , Ukraine , Czech Republic , Poland and Carpatho-Rusyn .",5,10,"Entity-Origin(e1,e2)"
1899,These are the least expensive scissors produced by this manufacturer and are available for less than $ 6.00 per pair .,5,9,"Product-Producer(e1,e2)"
1900,South Bade residents have been blown back into primitive lifestyle .,2,9,Other
1901,"In fact , a protocol copes even with Byzantine failures by using randomization .",4,12,"Instrument-Agency(e2,e1)"
1902,The website cited notes made by an investigator from the Los Angeles County Coroner 's office as the source of the information .,3,7,"Product-Producer(e1,e2)"
1903,"Also on display are weapons made by inmates including a zip gun , shanks , two sawed-off shotguns , as well as other items such as masks and an alcohol still .",7,17,"Product-Producer(e2,e1)"
1904,I made the carpet by cutting a knitting wool into short strips .,3,11,"Component-Whole(e1,e2)"
1905,Here are the news reports and photographs of the devastations caused by the storm .,9,13,"Cause-Effect(e2,e1)"
1906,This technique has been clearly explained in a previous issue of this magazine .,1,9,"Message-Topic(e2,e1)"
1907,Control is a process that employs a set of procedures to ensure that defined quality standards are met on a consistent basis .,3,9,"Instrument-Agency(e2,e1)"
1908,Several chapters of the book are devoted to the relationships between ethics and justice .,1,9,"Message-Topic(e1,e2)"
1909,"The steel Z-shaped stent was made with a steel guide wire ( 0.2 mm in diameter ) , covered with the vascular graft , and fixed to the graft wall with multiple interrupted sutures .",3,10,"Component-Whole(e2,e1)"
1910,Literary critics have examined many themes in the novel .,5,8,"Message-Topic(e2,e1)"
1911,"Crime fiction is a typically 19th and 20th century genre , dominated by British and American writers .",0,1,"Message-Topic(e2,e1)"
1912,A sample was sealed in a polyethylene bag and irradiated together with cobalt as a neutron flux determinant .,1,6,"Content-Container(e1,e2)"
1913,The neonatal heel prick is a common procedure for taking a blood sample from the heel of newborn infants .,15,18,"Component-Whole(e1,e2)"
1914,"Next up is the fingerprint scanner , the scanner was cleaned by the UKPS operator with a cloth .",14,17,"Instrument-Agency(e2,e1)"
1915,Today 's curious thinkers are keeping Ben 's traditions alive by inventing new and improved ways to make things work .,3,15,Other
1916,The editor improved the manuscript with his changes .,1,7,"Product-Producer(e2,e1)"
1917,The movement of the flag on the surface of the moon was caused by the vaccum .,1,15,"Cause-Effect(e2,e1)"
1918,Jacks are spreading into areas formerly occupied by white-tails in Colorado .,0,4,"Entity-Destination(e1,e2)"
1919,The hollow bar mounting the cameras encloses a wiring harness between the cameras .,2,9,Other
1920,Blade is accepted into the inner circle of hardened criminals who run things inside the prison and is offered a job on his release .,6,9,"Member-Collection(e2,e1)"
1921,"Though Calder had gone to Paris to paint , he began creating figures and animals from wire and wood , gradually building up an entire circus of trapeze artists , clowns and trained animals .",25,28,"Member-Collection(e2,e1)"
1922,"Propionibacteria acnes , or P. acnes , are the bacteria responsible for acne breakouts .",9,13,"Cause-Effect(e1,e2)"
1923,"Among the Hittites there was only one queen consort , but the king had a harem of wives ( free women ) and of slave concubines also .",15,17,"Member-Collection(e2,e1)"
1924,Our microwave has a turn-able turntable inside and dial-able knobs outside .,1,5,"Component-Whole(e2,e1)"
1925,"Felt dots are embroidered on the front and sleeves of this sweater , adding an extra dimension of fun .",8,11,"Component-Whole(e1,e2)"
1926,"In the story a mob surrounds a woman to stone her for adultery , and ask Jesus what they should do .",2,4,"Message-Topic(e1,e2)"
1927,The summer he was thirteen he organized the neighboring farmer boys into a troop of scouts .,13,15,"Member-Collection(e2,e1)"
1928,"Like all new towns we have missed.the encouraging influence of a large body of alumni , only two of the thirty-five former graduates having entered college .",12,14,"Member-Collection(e2,e1)"
1929,The depression chamber contains a diaphragm under pressure from a diaphragm spring .,2,5,"Component-Whole(e2,e1)"
1930,"In the poem , an albatross starts to follow a ship - being followed by an albatross was generally considered an omen of good luck .",2,5,Other
1931,The fortress had the only gate from the southwest .,1,5,"Component-Whole(e2,e1)"
1932,The dissertations reported on a research project of some kind .,1,5,"Message-Topic(e1,e2)"
